source_run,condition_id,condition_state,run_type,scenario_key,persona_key,message_count,agent_a_turn_count,agent_b_turn_count,memory_snapshot_count,candidate_count,unique_route_count,state_task_variable_agreement,active_constraint_agreement,current_route_agreement,agent_a_constraint_count,agent_b_constraint_count,agent_a_clarification_count,agent_b_clarification_count,final_agent_a_focus,final_agent_b_focus,focus_disagreement_count
20260713_211625_b-n0001,C-AC-FC-CLEAN-PIP-VOS-QQ57I-DEFAU-LRG-I0-e904179d98-T,not_started,text_only,airport_connection,focused_commuter,,,,,,,,,,,,,,,,
20260713_211627_b-n0001,C-MDE-FC-CLEAN-PIP-FWH-QQ57I-PCC-LRG-I0-076900ff64-A,not_started,audio_variant,multi_destination_errands,focused_commuter,,,,,,,,,,,,,,,,
20260713_211632_b-n0001,C-AC-AR-HESIT-PIP-FWH-QQ57I-PCC-LRG-I0-d94d1c6fbe-A,not_started,audio_variant,airport_connection,accessibility_rider,,,,,,,,,,,,,,,,
20260713_211657_b-n0001,C-AC-FC-CLEAN-PIP-VOS-QQ57I-DEFAU-LRG-I0-e904179d98-A,not_started,audio_variant,airport_connection,focused_commuter,,,,,,,,,,,,,,,,
20260713_211658_b-n0001,C-MDE-CAR-MC-PIP-FWH-QQ57I-PSS-LRG-I0-14370fa494-T,not_started,text_only,multi_destination_errands,crowd_averse_rider,,,,,,,,,,,,,,,,
20260713_211704_b-n0001,C-AC-MSER-HESIT-PIP-FWH-QQ57I-PCC-LRG-I0-e0fb68d255-T,not_started,text_only,airport_connection,multi_stop_errand_runner,,,,,,,,,,,,,,,,
20260713_211727_b-n0001,C-MDE-CAR-MC-PIP-FWH-QQ57I-PSS-LRG-I0-14370fa494-A,not_started,audio_variant,multi_destination_errands,crowd_averse_rider,,,,,,,,,,,,,,,,
20260713_211734_b-n0001,C-AC-MSER-HESIT-PIP-FWH-QQ57I-PCC-LRG-I0-e0fb68d255-A,not_started,audio_variant,airport_connection,multi_stop_errand_runner,,,,,,,,,,,,,,,,
20260713_211759_b-n0001,C-MDE-RAN-SC-PIP-FWH-QQ57I-PTB-LRG-I0-6609b84dbc-T,not_started,text_only,multi_destination_errands,risk_averse_novice,,,,,,,,,,,,,,,,
20260713_211808_b-n0001,C-CEE-FC-MC-PIP-FWH-QQ57I-PAD-LRG-I0-dabc7d985b-T,not_started,text_only,crowded_event_exit,focused_commuter,,,,,,,,,,,,,,,,
20260713_211831_b-n0001,C-MDE-RAN-SC-PIP-FWH-QQ57I-PTB-LRG-I0-6609b84dbc-A,not_started,audio_variant,multi_destination_errands,risk_averse_novice,,,,,,,,,,,,,,,,
20260713_211841_b-n0001,C-CEE-FC-MC-PIP-FWH-QQ57I-PAD-LRG-I0-dabc7d985b-A,not_started,audio_variant,crowded_event_exit,focused_commuter,,,,,,,,,,,,,,,,
20260713_211901_b-n0001,C-MDE-AR-CLEAN-PIP-FWH-QQ57I-PCP-LRG-I0-3781a68e2c-T,not_started,text_only,multi_destination_errands,accessibility_rider,,,,,,,,,,,,,,,,
20260713_211912_b-n0001,C-CEE-CAR-CLEAN-PIP-FWH-QQ57I-PCP-LRG-I0-1231bd51e3-T,not_started,text_only,crowded_event_exit,crowd_averse_rider,,,,,,,,,,,,,,,,
20260713_211931_b-n0001,C-MDE-AR-CLEAN-PIP-FWH-QQ57I-PCP-LRG-I0-3781a68e2c-A,not_started,audio_variant,multi_destination_errands,accessibility_rider,,,,,,,,,,,,,,,,
20260713_211943_b-n0001,C-CEE-CAR-CLEAN-PIP-FWH-QQ57I-PCP-LRG-I0-1231bd51e3-A,not_started,audio_variant,crowded_event_exit,crowd_averse_rider,,,,,,,,,,,,,,,,
20260713_212001_b-n0001,C-MDE-MSER-CLEAN-PIP-FWH-QQ57I-PAD-LRG-I0-7f99920e74-T,not_started,text_only,multi_destination_errands,multi_stop_errand_runner,,,,,,,,,,,,,,,,
